# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	7086
#@/user_id	76c8a36a-966b-414b-94e3-75dde62f30cd
a 	啊	c=13 d=0.000374998 t=7086
a li yun 	阿里云	c=1 d=8.8967e-08 t=7086
ai ya 	哎呀	c=1 d=0.00121259 t=7086
an jian 	按键	c=2 d=0.839457 t=7086
an niu 	按钮	c=8 d=0.00716315 t=7086
an pai 	安排	c=2 d=0.00755912 t=7086
an quan 	安全	c=1 d=9.18981e-07 t=7086
an zhao 	按照	c=3 d=0.301538 t=7086
ang ang 	昂昂	c=1 d=0.865023 t=7086
ao fu 	澳服	c=1 d=1.67478e-08 t=7086
ao luo ta ding di yan ye 	奥洛他定滴眼液	c=1 d=1.21635e-10 t=7086
ba 	把	c=53 d=1.55061 t=7086
ba kong 	把控	c=1 d=6.16116e-09 t=7086
ba ta 	把他	c=1 d=0.00012341 t=7086
ba wen zi 	把文字	c=1 d=6.54326e-11 t=7086
ba wo 	把我	c=2 d=1.54204e-05 t=7086
bai 	白	c=1 d=2.46128e-08 t=7086
bai lai 	白来	c=1 d=4.19237e-09 t=7086
bai zhong 	百种	c=1 d=2.47362e-08 t=7086
bai zong 	白总	c=1 d=2.48601e-08 t=7086
ban ben 	版本	c=12 d=0.79558 t=7086
ban hao 	办好	c=1 d=1.36742e-05 t=7086
ban qiu 	半球	c=1 d=0.477114 t=7086
bang ding 	绑定	c=1 d=0.843664 t=7086
bang wo 	帮我	c=1 d=4.33049e-08 t=7086
bao 	包	c=2 d=1.01501e-05 t=7086
bao 	报	c=1 d=1.6453e-05 t=7086
bao bei 	报备	c=1 d=0.00856561 t=7086
bao cuo 	报错	c=5 d=0.912801 t=7086
bao gao 	报告	c=2 d=0.79713 t=7086
bao jia 	报价	c=1 d=0.000223746 t=7086
bao kuo 	包括	c=1 d=0.0285814 t=7086
bao li mian 	包里面	c=1 d=0.0333733 t=7086
bao liu 	保留	c=2 d=0.00068303 t=7086
bao zheng 	保证	c=3 d=0.027088 t=7086
bei 	北	c=6 d=1.92165 t=7086
bei 	被	c=4 d=1.28807e-05 t=7086
bei ci 	背刺	c=1 d=3.07383e-05 t=7086
bei duan 	北段	c=1 d=0.467666 t=7086
bei jing se 	背景色	c=1 d=3.61713e-08 t=7086
bei zhu 	备注	c=3 d=0.00832431 t=7086
ben di 	本地	c=2 d=0.212248 t=7086
ben lai 	本来	c=2 d=4.26091e-09 t=7086
ben zhou 	本周	c=2 d=0.0270518 t=7086
