# Rime user dictionary
#@/db_name	extended
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	310
#@/user_id	1562f873-abc2-4831-9f9f-3340be45a13d
a 	啊	c=6 d=3.55489 t=310
ang 	昂	c=0 d=0.130364 t=310
ang ang 	昂昂	c=0 d=0.0831105 t=310
ba 	吧	c=1 d=0.970446 t=310
ban fa 	办法	c=0 d=0.0798516 t=310
bu cuo 	不错	c=2 d=1.16339 t=310
bu ju 	布局	c=1 d=0.918512 t=310
bu shi yong 	不适用	c=1 d=0.965605 t=310
bu yao 	不要	c=1 d=0.878095 t=310
cai 	才	c=1 d=0.83527 t=310
can shu 	参数	c=1 d=0.941765 t=310
cheng 	成	c=1 d=0.985112 t=310
chi fan 	吃饭	c=1 d=0.985112 t=310
ci 	词	c=0 d=0.0814647 t=310
ci ku 	词库	c=3 d=2.88383 t=310
dan shi 	但是	c=1 d=0.995012 t=310
dan xin 	担心	c=0 d=0.0927743 t=310
de 	的	c=5 d=4.26057 t=310
de wei 	地委	c=1 d=0.97531 t=310
deng lu 	登录	c=2 d=1.58113 t=310
di zhi 	地址	c=1 d=0.960789 t=310
dong tai 	动态	c=1 d=0.955997 t=310
dou hao 	逗号	c=1 d=0.802519 t=310
dou hao 	都好	c=1 d=0.794534 t=310
duo cu me nve 	多粗么虐	c=1 d=0.852143 t=310
en na 	恩纳	c=1 d=0.955997 t=310
er ma cong 	二妈从	c=1 d=0.733447 t=310
fa song 	发送	c=1 d=0.740818 t=310
fen ye 	分页	c=1 d=0.814647 t=310
feng 	冯	c=1 d=0.99005 t=310
fo nve 	佛虐	c=2 d=1.76502 t=310
geng xu yao 	更需要	c=1 d=1 t=310
ha 	哈	c=3 d=2.70969 t=310
ha 	蛤	c=0 d=0.0711771 t=310
ha ha 	哈哈	c=57 d=35.6175 t=310
ha ha 	铪哈	c=1 d=0.860708 t=310
ha ha ang 	哈哈昂	c=1 d=0.774916 t=310
ha ha ha 	哈哈哈	c=22 d=14.1828 t=310
ha ha ha 	蛤哈哈	c=1 d=0.715338 t=310
ha ha ha ha 	哈哈哈哈	c=1 d=0.869359 t=310
ha han 	哈韩	c=0 d=0.070822 t=310
ha han ang 	哈韩昂	c=1 d=0.711771 t=310
hai bu cuo 	还不错	c=1 d=1 t=310
hai nan 	海南	c=1 d=0.985112 t=310
hai zhen de 	还真的	c=2 d=1.26915 t=310
hao a 	好啊	c=1 d=0.729789 t=310
hao le 	好了	c=0 d=0.083527 t=310
hao yong 	好用	c=2 d=1.16656 t=310
hei hei 	嘿嘿	c=1 d=0.778801 t=310
hen 	很	c=1 d=0.625002 t=310
hen bu cuo 	很不错	c=0 d=0.0647264 t=310
hen bu cuo ping 	很不错平	c=1 d=0.650509 t=310
heng xiang 	横向	c=1 d=0.913931 t=310
hong 	洪	c=0 d=0.0831105 t=310
hong ang ang 	洪昂昂	c=7 d=6.07537 t=310
hou xuan 	候选	c=0 d=0.0814647 t=310
hou xuan ci 	候选词	c=2 d=1.7281 t=310
hu hu 	呼呼	c=4 d=3.60426 t=310
hu hu 	忽忽	c=1 d=0.895835 t=310
hua 	话	c=1 d=0.909373 t=310
hui che 	回车	c=4 d=3.71859 t=310
ji tuan 	集团	c=1 d=0.827216 t=310
jie jue 	解决	c=1 d=0.980199 t=310
jin zhi 	禁止	c=2 d=1.84177 t=310
jin zhi 	进制	c=1 d=0.960789 t=310
jiu 	就	c=1 d=0.711771 t=310
ju hao 	句号	c=2 d=1.60506 t=310
kai fa 	开发	c=1 d=0.97531 t=310
kai qi 	开启	c=1 d=0.790571 t=310
kan lai 	看来	c=4 d=2.71253 t=310
kan zhe 	看着	c=1 d=0.995012 t=310
